protocol,input,cache_size,associativity,block_size,total_cycles,total_private_accesses,total_shared_accesses,total_hits,total_hits_percentage,total_misses,total_misses_percentage,traffic,invalidations,core0_instructions,core0_exec_cycles,core0_compute_cycles,core0_idle_cycles,core0_memory_instructions,core0_load_instructions,core0_store_instructions,core0_hits,core0_hits_percentage,core0_misses,core0_misses_percentage,core1_instructions,core1_exec_cycles,core1_compute_cycles,core1_idle_cycles,core1_memory_instructions,core1_load_instructions,core1_store_instructions,core1_hits,core1_hits_percentage,core1_misses,core1_misses_percentage,core2_instructions,core2_exec_cycles,core2_compute_cycles,core2_idle_cycles,core2_memory_instructions,core2_load_instructions,core2_store_instructions,core2_hits,core2_hits_percentage,core2_misses,core2_misses_percentage,core3_instructions,core3_exec_cycles,core3_compute_cycles,core3_idle_cycles,core3_memory_instructions,core3_load_instructions,core3_store_instructions,core3_hits,core3_hits_percentage,core3_misses,core3_misses_percentage
Dragon,bodytrack_four.zip,1024,2,32,370924852,9007700,992274,7228965,0.72,2771036,0.28,124991328,209,6540263,363758879,17729254,342759492,3270132,2380720,889412,2378869,0.73,891263,0.27,6574503,370184107,17120545,349776309,3287252,2388005,899247,2380904,0.72,906348,0.28,235395,40880039,17556877,23205463,117698,74523,43175,69658,0.59,48040,0.41,6649837,370924852,17140113,350459819,3324919,2416052,908867,2399534,0.72,925385,0.28
Dragon,bodytrack_four.zip,4096,2,32,171594453,9325030,674796,8664327,0.87,1335674,0.13,56586420,1497,6540263,167815204,17729254,146815817,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171594453,17120545,151186655,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28154217,17556877,10479641,117698,74523,43175,96646,0.82,21052,0.18,6649837,168710203,17140113,148245170,3324919,2416052,908867,2882694,0.87,442225,0.13
Dragon,bodytrack_four.zip,8192,2,32,123106172,8106104,1893593,9001018,0.9,998983,0.1,41236760,3217,6540263,121244481,17729254,100245094,3270132,2380720,889412,2943833,0.9,326299,0.1,6574503,123106172,17120545,102698374,3287252,2388005,899247,2957737,0.9,329515,0.1,235395,26378501,17556877,8703925,117698,74523,43175,99909,0.85,17789,0.15,6649837,119522423,17140113,99057390,3324919,2416052,908867,2999539,0.9,325380,0.1
Dragon,fluidanimate_four.zip,1024,2,32,476028556,8963167,1036802,6727339,0.67,3272662,0.33,154497068,294,5153005,445946268,11337782,432031982,2576503,1832392,744111,1684663,0.65,891840,0.35,4815687,476028556,11290799,462329912,2407844,1821846,585998,1674586,0.7,733258,0.3,5208377,413894938,11337671,399953077,2604189,1838008,766181,1683177,0.65,921012,0.35,4822929,286298771,11301515,272585790,2411465,1832174,579291,1684913,0.7,726552,0.3
Dragon,fluidanimate_four.zip,4096,2,32,331131163,8858539,1141433,7925217,0.79,2074784,0.21,104906388,1067,5153005,321060127,11337782,307145841,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,281904010,11290799,268205366,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,331131163,11337671,317189302,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236755731,11301515,223042750,2411465,1832174,579291,1930512,0.8,480953,0.2
Dragon,fluidanimate_four.zip,8192,2,32,292955049,8754876,1245047,8281957,0.83,1718044,0.17,91503868,1409,5153005,264690860,11337782,250776574,2576503,1832392,744111,2128041,0.83,448462,0.17,4815687,278555526,11290799,264856882,2407844,1821846,585998,2009763,0.83,398081,0.17,5208377,292955049,11337671,279013188,2604189,1838008,766181,2127566,0.82,476623,0.18,4822929,221010124,11301515,207297143,2411465,1832174,579291,2016587,0.84,394878,0.16
Mesi (advanced),blackscholes_four.zip,1024,2,32,770549029,9082214,917787,4683309,0.47,5316692,0.53,261146344,1956886,4994697,657493570,10430314,644565906,2497349,1489888,1007461,1172126,0.47,1325223,0.53,4980935,767869013,10383276,754995268,2490468,1485857,1004611,1167689,0.47,1322779,0.53,5018113,770549029,10430338,757609633,2509057,1492629,1016428,1170182,0.47,1338875,0.53,5006253,659132524,10394904,646234492,2503127,1493736,1009391,1173312,0.47,1329815,0.53
Mesi (advanced),blackscholes_four.zip,4096,2,32,99771628,8257018,1742983,9050684,0.91,949317,0.09,41510520,178340,4994697,96892313,10430314,83964649,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,96072726,10383276,83198981,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99771628,10430338,86832232,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,97017738,10394904,84119706,2503127,1493736,1009391,2268620,0.91,234507,0.09
Mesi (advanced),blackscholes_four.zip,8192,2,32,47397452,8162203,1837798,9561860,0.96,438141,0.04,18409512,58410,4994697,44409866,10430314,31482202,2497349,1489888,1007461,2390847,0.96,106502,0.04,4980935,43708456,10383276,30834711,2490468,1485857,1004611,2385804,0.96,104664,0.04,5018113,47397452,10430338,34458056,2509057,1492629,1016428,2388390,0.95,120667,0.05,5006253,44404190,10394904,31506158,2503127,1493736,1009391,2396819,0.96,106308,0.04
Mesi (advanced),bodytrack_four.zip,1024,2,32,371696363,9131159,868842,7228965,0.72,2771036,0.28,124993544,773821,6540263,364611234,17729254,343611847,3270132,2380720,889412,2378869,0.73,891263,0.27,6574503,370909326,17120545,350501528,3287252,2388005,899247,2380904,0.72,906348,0.28,235395,40886307,17556877,23211731,117698,74523,43175,69658,0.59,48040,0.41,6649837,371696363,17140113,351231330,3324919,2416052,908867,2399534,0.72,925385,0.28
Mesi (advanced),bodytrack_four.zip,4096,2,32,171785635,9335165,664836,8664327,0.87,1335674,0.13,56596312,318148,6540263,168173330,17729254,147173943,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171785635,17120545,151377837,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28173625,17556877,10499049,117698,74523,43175,96646,0.82,21052,0.18,6649837,169011325,17140113,148546292,3324919,2416052,908867,2882694,0.87,442225,0.13
Mesi (advanced),bodytrack_four.zip,8192,2,32,122752491,8034135,1965866,9001018,0.9,998983,0.1,41273416,231493,6540263,120885820,17729254,99886433,3270132,2380720,889412,2943833,0.9,326299,0.1,6574503,122752491,17120545,102344693,3287252,2388005,899247,2957737,0.9,329515,0.1,235395,26447025,17556877,8772449,117698,74523,43175,99909,0.85,17789,0.15,6649837,119139114,17140113,98674081,3324919,2416052,908867,2999539,0.9,325380,0.1
Mesi (advanced),fluidanimate_four.zip,1024,2,32,480302651,9004465,995536,6727339,0.67,3272662,0.33,154498404,1268569,5153005,480302651,11337782,466388365,2576503,1832392,744111,1684663,0.65,891840,0.35,4815687,404049908,11290799,390351264,2407844,1821846,585998,1674586,0.7,733258,0.3,5208377,414459289,11337671,400517428,2604189,1838008,766181,1683177,0.65,921012,0.35,4822929,286342169,11301515,272629188,2411465,1832174,579291,1684913,0.7,726552,0.3
Mesi (advanced),fluidanimate_four.zip,4096,2,32,331718537,8870122,1129879,7925217,0.79,2074784,0.21,104907056,1035891,5153005,294751900,11337782,280837614,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,319783908,11290799,306085264,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,331718537,11337671,317776676,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236812933,11301515,223099952,2411465,1832174,579291,1930512,0.8,480953,0.2
Mesi (advanced),fluidanimate_four.zip,8192,2,32,291734604,8755156,1244845,8281957,0.83,1718044,0.17,91505156,1004763,5153005,281896371,11337782,267982085,2576503,1832392,744111,2128041,0.83,448462,0.17,4815687,253487771,11290799,239789127,2407844,1821846,585998,2009763,0.83,398081,0.17,5208377,291734604,11337671,277792743,2604189,1838008,766181,2127566,0.82,476623,0.18,4822929,221059872,11301515,207346891,2411465,1832174,579291,2016587,0.84,394878,0.16
