protocol,input,cache_size,associativity,block_size,total_cycles,total_private_accesses,total_shared_accesses,total_hits,total_hits_percentage,total_misses,total_misses_percentage,core0_instructions,core0_exec_cycles,core0_compute_cycles,core0_idle_cycles,core0_memory_instructions,core0_load_instructions,core0_store_instructions,core0_hits,core0_hits_percentage,core0_misses,core0_misses_percentage,core1_instructions,core1_exec_cycles,core1_compute_cycles,core1_idle_cycles,core1_memory_instructions,core1_load_instructions,core1_store_instructions,core1_hits,core1_hits_percentage,core1_misses,core1_misses_percentage,core2_instructions,core2_exec_cycles,core2_compute_cycles,core2_idle_cycles,core2_memory_instructions,core2_load_instructions,core2_store_instructions,core2_hits,core2_hits_percentage,core2_misses,core2_misses_percentage,core3_instructions,core3_exec_cycles,core3_compute_cycles,core3_idle_cycles,core3_memory_instructions,core3_load_instructions,core3_store_instructions,core3_hits,core3_hits_percentage,core3_misses,core3_misses_percentage
Dragon,bodytrack_four.zip,4096,2,16,222854407,9224580,775303,8314367,0.83,1685634,0.17,6540263,218714491,17729254,197715104,3270132,2380720,889412,2726713,0.83,543419,0.17,6574503,222854407,17120545,202446609,3287252,2388005,899247,2729195,0.83,558057,0.17,235395,30939417,17556877,13264841,117698,74523,43175,91705,0.78,25993,0.22,6649837,220562051,17140113,200097018,3324919,2416052,908867,2766754,0.83,558165,0.17
Dragon,bodytrack_four.zip,4096,2,32,171643531,9319685,680211,8664327,0.87,1335674,0.13,6540263,167862298,17729254,146862911,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171643531,17120545,151235733,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28165893,17556877,10491317,117698,74523,43175,96646,0.82,21052,0.18,6649837,168775533,17140113,148310500,3324919,2416052,908867,2882694,0.87,442225,0.13
Dragon,bodytrack_four.zip,4096,2,64,131756941,8774588,1225347,8917296,0.89,1082705,0.11,6540263,128560989,17729254,107561602,3270132,2380720,889412,2920843,0.89,349289,0.11,6574503,131756941,17120545,111349143,3287252,2388005,899247,2929246,0.89,358006,0.11,235395,25268645,17556877,7594069,117698,74523,43175,101108,0.86,16590,0.14,6649837,129506522,17140113,109041489,3324919,2416052,908867,2966099,0.89,358820,0.11
Dragon,fluidanimate_four.zip,4096,2,16,420012131,8770454,1229522,7281787,0.73,2718214,0.27,5153005,420012131,11337782,406097845,2576503,1832392,744111,1872120,0.73,704383,0.27,4815687,381456730,11290799,367758086,2407844,1821846,585998,1765576,0.73,642268,0.27,5208377,367266646,11337671,353324785,2604189,1838008,766181,1872729,0.72,731460,0.28,4822929,272499728,11301515,258786747,2411465,1832174,579291,1771362,0.73,640103,0.27
Dragon,fluidanimate_four.zip,4096,2,32,328687669,8845350,1154614,7925217,0.79,2074784,0.21,5153005,328687669,11337782,314773383,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,282183287,11290799,268484643,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,328544615,11337671,314602754,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236796843,11301515,223083862,2411465,1832174,579291,1930512,0.8,480953,0.2
Dragon,fluidanimate_four.zip,4096,2,64,201059218,8620386,1379572,8681726,0.87,1318275,0.13,5153005,195956363,11337782,182042077,2576503,1832392,744111,2225993,0.86,350510,0.14,4815687,182993760,11290799,169295116,2407844,1821846,585998,2105547,0.87,302297,0.13,5208377,201059218,11337671,187117357,2604189,1838008,766181,2237813,0.86,366376,0.14,4822929,180721629,11301515,167008648,2411465,1832174,579291,2112373,0.88,299092,0.12
Mesi (advanced),blackscholes_four.zip,4096,2,16,87714760,8206401,1793600,9144776,0.91,855225,0.09,4994697,84937766,10430314,72010102,2497349,1489888,1007461,2286965,0.92,210384,0.08,4980935,84118387,10383276,71244642,2490468,1485857,1004611,2281931,0.92,208537,0.08,5018113,87714760,10430338,74775364,2509057,1492629,1016428,2283661,0.91,225396,0.09,5006253,84963731,10394904,72065699,2503127,1493736,1009391,2292219,0.92,210908,0.08
Mesi (advanced),blackscholes_four.zip,4096,2,32,99771628,8257018,1742983,9050684,0.91,949317,0.09,4994697,96892313,10430314,83964649,2497349,1489888,1007461,2263460,0.91,233889,0.09,4980935,96072726,10383276,83198981,2490468,1485857,1004611,2258432,0.91,232036,0.09,5018113,99771628,10430338,86832232,2509057,1492629,1016428,2260172,0.9,248885,0.1,5006253,97017738,10394904,84119706,2503127,1493736,1009391,2268620,0.91,234507,0.09
Mesi (advanced),blackscholes_four.zip,4096,2,64,108144033,8304872,1695129,9084615,0.91,915386,0.09,4994697,106301456,10430314,93373792,2497349,1489888,1007461,2270673,0.91,226676,0.09,4980935,105811947,10383276,92938202,2490468,1485857,1004611,2264885,0.91,225583,0.09,5018113,108144033,10430338,95204637,2509057,1492629,1016428,2273416,0.91,235641,0.09,5006253,106466317,10394904,93568285,2503127,1493736,1009391,2275641,0.91,227486,0.09
Mesi (advanced),bodytrack_four.zip,4096,2,16,222983316,9221139,778862,8314367,0.83,1685634,0.17,6540263,218795972,17729254,197796585,3270132,2380720,889412,2726713,0.83,543419,0.17,6574503,222983316,17120545,202575518,3287252,2388005,899247,2729195,0.83,558057,0.17,235395,30969093,17556877,13294517,117698,74523,43175,91705,0.78,25993,0.22,6649837,220619905,17140113,200154872,3324919,2416052,908867,2766754,0.83,558165,0.17
Mesi (advanced),bodytrack_four.zip,4096,2,32,171785635,9335165,664836,8664327,0.87,1335674,0.13,6540263,168173330,17729254,147173943,3270132,2380720,889412,2839839,0.87,430293,0.13,6574503,171785635,17120545,151377837,3287252,2388005,899247,2845148,0.87,442104,0.13,235395,28173625,17556877,10499049,117698,74523,43175,96646,0.82,21052,0.18,6649837,169011325,17140113,148546292,3324919,2416052,908867,2882694,0.87,442225,0.13
Mesi (advanced),bodytrack_four.zip,4096,2,64,131990591,8857092,1142909,8917296,0.89,1082705,0.11,6540263,128796569,17729254,107797182,3270132,2380720,889412,2920843,0.89,349289,0.11,6574503,131990591,17120545,111582793,3287252,2388005,899247,2929246,0.89,358006,0.11,235395,25268101,17556877,7593525,117698,74523,43175,101108,0.86,16590,0.14,6649837,129730271,17140113,109265238,3324919,2416052,908867,2966099,0.89,358820,0.11
Mesi (advanced),fluidanimate_four.zip,4096,2,16,416067838,8757010,1242991,7281787,0.73,2718214,0.27,5153005,396939894,11337782,383025608,2576503,1832392,744111,1872120,0.73,704383,0.27,4815687,416067838,11290799,402369194,2407844,1821846,585998,1765576,0.73,642268,0.27,5208377,367218936,11337671,353277075,2604189,1838008,766181,1872729,0.72,731460,0.28,4822929,272555042,11301515,258842061,2411465,1832174,579291,1771362,0.73,640103,0.27
Mesi (advanced),fluidanimate_four.zip,4096,2,32,331718537,8870122,1129879,7925217,0.79,2074784,0.21,5153005,294751900,11337782,280837614,2576503,1832392,744111,2035477,0.79,541026,0.21,4815687,319783908,11290799,306085264,2407844,1821846,585998,1922698,0.8,485146,0.2,5208377,331718537,11337671,317776676,2604189,1838008,766181,2036530,0.78,567659,0.22,4822929,236812933,11301515,223099952,2411465,1832174,579291,1930512,0.8,480953,0.2
Mesi (advanced),fluidanimate_four.zip,4096,2,64,201360463,8623072,1376929,8681726,0.87,1318275,0.13,5153005,195058893,11337782,181144607,2576503,1832392,744111,2225993,0.86,350510,0.14,4815687,184923344,11290799,171224700,2407844,1821846,585998,2105547,0.87,302297,0.13,5208377,201360463,11337671,187418602,2604189,1838008,766181,2237813,0.86,366376,0.14,4822929,180709273,11301515,166996292,2411465,1832174,579291,2112373,0.88,299092,0.12
